_version_,age_in_days,age_in_weeks,allele_accession_id,allele_symbol,allelic_composition,biological_sample_group,category,colony_id,data_point,datasource_name,date_of_birth,date_of_experiment,developmental_stage_acc,developmental_stage_name,discrete_point,experiment_id,experiment_source_id,external_sample_id,gene_accession_id,gene_symbol,genetic_background,id,life_stage_acc,life_stage_name,litter_id,metadata,metadata_group,observation_id,observation_type,parameter_name,parameter_stable_id,phenotyping_center,pipeline_name,pipeline_stable_id,procedure_group,procedure_name,procedure_sequence_id,procedure_stable_id,production_center,project_name,sex,specimen_id,strain_accession_id,strain_name,sub_term_description,sub_term_id,sub_term_name,text_value,time_point,weight,weight_date,weight_days_old,weight_parameter_stable_id,zygosity
1816865901717225476,82,11,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,0.59637904,EuroPhenome,2009-09-19T00:00:00Z,2009-12-10T00:00:00Z,EFO:0002948,postnatal,5.25,cd2633532ece3659a9aa56a4d62320cb,EXP120858,354072,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,6139f136-361d-4a61-9a36-da89d21623bc,IMPCLS:0005,Early adult,unknown,"['Equipment manufacturer = TSE systems', 'Equipment model = Labmaster CaloSys, (Dri)+Fed, Act.X,Y 16Mice', 'Equipment name = Labmaster Calosys', 'Normal room temperature span = 2.0', 'Room Temperature = 21.0']",d41d8cd98f00b204e9800998ecf8427e,8bfd70cad269dda21954c6527003a26f,time_series,Heat Production (Metabolic Rate),M-G-P_003_001_006,WTSI,MGP Pipeline,M-G-P_001,M-G-P_003,Indirect Calorimetry,EXP120858,M-G-P_003_001,WTSI,EUMODIC,male,4b011099e78771f7375ce2c0cadd393b,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,2009-12-10T00:00:00Z,37.4,2009-12-10T00:00:00Z,82,M-G-P_003_001_001,homozygote
1816865902761607170,114,16,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,53.7,EuroPhenome,2009-09-19T00:00:00Z,2010-01-11T00:00:00Z,EFO:0002948,postnatal,,34f4be665df16868bfa5ec7cde6c8035,EXP144943,354072,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,fef5fa28-3fe3-4864-886b-9559e0917cad,IMPCLS:0005,Early adult,unknown,"['Anaesthesia used for blood collection = injection narcosis with ketamine (100mg/kg)/xylazine (10mg/kg)', 'Date/Time of blood collection = 11/01/010 08:47:00', 'Equipment manufacturer = scil Vet', 'Equipment model = abc hematology analyzer', 'Equipment name = scil Vet abc hematology analyzer', 'Method of blood collection = retro-orbital puncture']",d41d8cd98f00b204e9800998ecf8427e,d6e1ec7dc46b6428371ba70e2d1f87a2,unidimensional,Haematocrit,M-G-P_016_001_004,WTSI,MGP Pipeline,M-G-P_001,M-G-P_016,Haematology test,EXP144943,M-G-P_016_001,WTSI,EUMODIC,male,4b011099e78771f7375ce2c0cadd393b,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,,39.7,2010-01-11T00:00:00Z,114,M-G-P_020_001_001,homozygote
1816865903225077771,84,12,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,0.4328454,EuroPhenome,2009-07-28T00:00:00Z,2009-10-20T00:00:00Z,EFO:0002948,postnatal,7.81,313849c4e3a78b28959f9897fade86a8,EXP109615,318404,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,381ddde3-3648-48e1-9f51-28ac47dfe3d8,IMPCLS:0005,Early adult,unknown,"['Equipment manufacturer = TSE systems', 'Equipment model = Labmaster CaloSys, (Dri)+Fed, Act.X,Y 16Mice', 'Equipment name = Labmaster Calosys', 'Normal room temperature span = 2.0', 'Room Temperature = 21.0']",d41d8cd98f00b204e9800998ecf8427e,218d3a5bb7cd687ffb8672a33fbe71e2,time_series,Heat Production (Metabolic Rate),M-G-P_003_001_006,WTSI,MGP Pipeline,M-G-P_001,M-G-P_003,Indirect Calorimetry,EXP109615,M-G-P_003_001,WTSI,EUMODIC,male,ac5f6002a153375e83c3e40dca94fff3,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,2009-10-20T00:00:00Z,38.2,2009-10-20T00:00:00Z,84,M-G-P_003_001_001,homozygote
1816865903697985542,82,11,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,80.0,EuroPhenome,2009-09-19T00:00:00Z,2009-12-10T00:00:00Z,EFO:0002948,postnatal,14.89,cd2633532ece3659a9aa56a4d62320cb,EXP120858,354072,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,5f7b7e5f-cf90-47e2-87a4-7acfa477734b,IMPCLS:0005,Early adult,unknown,"['Equipment manufacturer = TSE systems', 'Equipment model = Labmaster CaloSys, (Dri)+Fed, Act.X,Y 16Mice', 'Equipment name = Labmaster Calosys', 'Normal room temperature span = 2.0', 'Room Temperature = 21.0']",d41d8cd98f00b204e9800998ecf8427e,0a64f4198c037964053aebdcdab1c6d5,time_series,Carbon dioxide production,M-G-P_003_001_004,WTSI,MGP Pipeline,M-G-P_001,M-G-P_003,Indirect Calorimetry,EXP120858,M-G-P_003_001,WTSI,EUMODIC,male,4b011099e78771f7375ce2c0cadd393b,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,2009-12-10T00:00:00Z,37.4,2009-12-10T00:00:00Z,82,M-G-P_003_001_001,homozygote
1816865904077570058,81,11,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,0.0,EuroPhenome,2009-07-31T00:00:00Z,2009-10-20T00:00:00Z,EFO:0002948,postnatal,-3.17,815471238bcc11bc96b7e789473cab2a,EXP109616,318409,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,dfe91541-4352-485a-a21a-7965bc74f472,IMPCLS:0005,Early adult,unknown,"['Equipment manufacturer = TSE systems', 'Equipment model = Labmaster CaloSys, (Dri)+Fed, Act.X,Y 16Mice', 'Equipment name = Labmaster Calosys', 'Normal room temperature span = 2.0', 'Room Temperature = 21.0']",d41d8cd98f00b204e9800998ecf8427e,76da507314b7592cc9478252a20372f6,time_series,Cumulative food intake ,M-G-P_003_001_012,WTSI,MGP Pipeline,M-G-P_001,M-G-P_003,Indirect Calorimetry,EXP109616,M-G-P_003_001,WTSI,EUMODIC,male,1445055e7c8cd4b7e78882703bc81c6f,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,2009-10-20T00:00:00Z,31.5,2009-10-20T00:00:00Z,81,M-G-P_003_001_001,homozygote
1816865906611978242,72,10,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,Normal,EPD0103_5_A10,,EuroPhenome,2009-09-19T00:00:00Z,2009-11-30T00:00:00Z,EFO:0002948,postnatal,,ae32adb5acdfd7df4749e5078d348c46,EXP118070,354075,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,d709dbca-dd68-4f1a-853a-e52a95b3d7de,IMPCLS:0005,Early adult,unknown,,d41d8cd98f00b204e9800998ecf8427e,e71ce9ccbd40f62194c122b69edc2bd1,categorical,Incisor,M-G-P_026_001_012,WTSI,MGP Pipeline,M-G-P_001,M-G-P_026,Dysmorphology,EXP118070,M-G-P_026_001,WTSI,EUMODIC,male,bc3a0e569fe364fda24495f02ce2eb17,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,,36.7,2009-11-30T00:00:00Z,72,M-G-P_012_001_005,homozygote
1816865908124024834,82,11,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,99.0,EuroPhenome,2009-09-19T00:00:00Z,2009-12-10T00:00:00Z,EFO:0002948,postnatal,0.72,cd2633532ece3659a9aa56a4d62320cb,EXP120858,354072,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,09696556-836d-4b21-b2eb-fa8a28a5fa48,IMPCLS:0005,Early adult,unknown,"['Equipment manufacturer = TSE systems', 'Equipment model = Labmaster CaloSys, (Dri)+Fed, Act.X,Y 16Mice', 'Equipment name = Labmaster Calosys', 'Normal room temperature span = 2.0', 'Room Temperature = 21.0']",d41d8cd98f00b204e9800998ecf8427e,55a11ebfd6a56365faaea17ee0d1cbda,time_series,Carbon dioxide production,M-G-P_003_001_004,WTSI,MGP Pipeline,M-G-P_001,M-G-P_003,Indirect Calorimetry,EXP120858,M-G-P_003_001,WTSI,EUMODIC,male,4b011099e78771f7375ce2c0cadd393b,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,2009-12-10T00:00:00Z,37.4,2009-12-10T00:00:00Z,82,M-G-P_003_001_001,homozygote
1816865908459569155,84,12,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,744.5454,EuroPhenome,2009-07-28T00:00:00Z,2009-10-20T00:00:00Z,EFO:0002948,postnatal,3.76,8dfc9cd4b8641553123e31b0aedd8cc0,EXP109614,318403,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,b634bca5-4126-41d5-80fc-82fddfbec325,IMPCLS:0005,Early adult,unknown,"['Equipment manufacturer = TSE systems', 'Equipment model = Labmaster CaloSys, (Dri)+Fed, Act.X,Y 16Mice', 'Equipment name = Labmaster Calosys', 'Normal room temperature span = 2.0', 'Room Temperature = 21.0']",d41d8cd98f00b204e9800998ecf8427e,0faab9bab04f4a5f6082633e5cb3f009,time_series,Ambulatory activity  (no. of beam cuts),M-G-P_003_001_007,WTSI,MGP Pipeline,M-G-P_001,M-G-P_003,Indirect Calorimetry,EXP109614,M-G-P_003_001,WTSI,EUMODIC,male,79cc820d561999cc254eeaaf32e41f45,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,2009-10-20T00:00:00Z,40.9,2009-10-20T00:00:00Z,84,M-G-P_003_001_001,homozygote
1816865816761597960,57,8,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,22.7,EuroPhenome,2009-07-26T00:00:00Z,2009-09-21T00:00:00Z,EFO:0002948,postnatal,,b03e82c7b6fd2d2fcdaa8627d29f6bff,MW54751,318430,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,c124c07e-5f93-42d5-b7a7-3a881381d36b,IMPCLS:0005,Early adult,unknown,,d41d8cd98f00b204e9800998ecf8427e,3b6238b3557211d576a20bd0a42fba91,unidimensional,Body Weight,M-G-P_022_001_001,WTSI,MGP Pipeline,M-G-P_001,M-G-P_022,Body Weight,MW54751,M-G-P_022_001,WTSI,EUMODIC,female,bb6f747531e6e326e3114788b57aa34e,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,,,,,,,,,,homozygote
1816865819470069768,1266,180,MGI:4432397,Fto<tm1a(EUCOMM)Wtsi>,Fto<tm1a(EUCOMM)Wtsi>/Fto<tm1a(EUCOMM)Wtsi>,experimental,,EPD0103_5_A10,,IMPC,2009-07-28T00:00:00Z,2013-01-14T00:00:00Z,EFO:0002948,postnatal,,867eb1828eee4875e7570844f69b0dce,Histopathology_4110,318403,MGI:1347093,Fto,involves: C57BL/6JTyr;C57BL/6N,6b405307-3708-444b-94e7-1c599d1f0b3f,IMPCLS:0005,Early adult,unknown,"['Experimenter ID = 101111', 'Section thickness = 4', 'Severity maximum score = 4', 'Stain = H&E']",d41d8cd98f00b204e9800998ecf8427e,138a75e85e700cf2781ca2fdc33155a5,ontological,Knee joint - MPATH process term,IMPC_HIS_253_001,WTSI,MGP Select Pipeline,MGP_001,IMPC_HIS,Histopathology,1,IMPC_HIS_001,WTSI,MGP,male,79cc820d561999cc254eeaaf32e41f45,IMPC-CURATE-33E61,C57BL/6JTyr;C57BL/6N,['No pathological entity observable.'],['MPATH:458'],['normal'],,,,,,,homozygote
