_version_,age_in_days,age_in_weeks,allele_accession_id,allele_symbol,allelic_composition,biological_sample_group,category,colony_id,data_point,datasource_name,date_of_birth,date_of_experiment,developmental_stage_acc,developmental_stage_name,discrete_point,download_file_path,experiment_id,experiment_source_id,external_sample_id,file_type,gene_accession_id,gene_symbol,genetic_background,id,increment_value,life_stage_acc,life_stage_name,litter_id,metadata,metadata_group,observation_id,observation_type,parameter_name,parameter_stable_id,phenotyping_center,pipeline_name,pipeline_stable_id,procedure_group,procedure_name,procedure_sequence_id,procedure_stable_id,production_center,project_name,sex,specimen_id,strain_accession_id,strain_name,sub_term_description,sub_term_id,sub_term_name,text_value,time_point,weight,weight_date,weight_days_old,weight_parameter_stable_id,zygosity
1816865902810890244,102,14,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,normal,H-SLC22A17-DEL400-EM1-B6N,,IMPC,2017-02-08T00:00:00Z,2017-05-21T00:00:00Z,EFO:0002948,postnatal,,,77677f9a8fae0286936ce6af95bb6a8f,771500_163438,SLC22A17-DEL400-EM1-B6N-IC/1.2A_6310759,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,e810c4de-94ba-4d6a-ac14-450e1e626b39,,IMPCLS:0005,Early adult,4027831,"['Dilation Method = Tropicamide', 'Experimenter ID = 3641112', 'General Anesthetic = No anesthesia', 'Ophthalmoscope Equipment ID = Ophthalmoscope', 'Ophthalmoscope Equipment Manufacturer = Heine / Volk', 'Ophthalmoscope Equipment Model = OMEGA 180 / Superfield NC', 'Slit Lamp Equipment ID = Slit lamp', 'Slit Lamp Equipment Manufacturer = Zeiss', 'Slit Lamp Equipment Model = 30 SL-M', 'Topical Anesthetic = No anesthesia']",1e5c45951a080f3853c51846fa1e1e03,7cfc6e578954640f1325bdaf296107dc,categorical,Eyelid morphology,IMPC_EYE_004_001,MRC Harwell,Harwell,HRWL_001,IMPC_EYE,Eye Morphology,,IMPC_EYE_001,MRC Harwell,MRC,female,7ef0b2f37959f63b61beef763f9b2304,MGI:2164831,C57BL/6NTac,,,,,,27.12,2017-05-22T00:00:00Z,103,IMPC_BWT_001_001,heterozygote
1816865905483710472,101,14,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,,H-SLC22A17-DEL400-EM1-B6N,8.303216,IMPC,2017-02-07T00:00:00Z,2017-05-19T00:00:00Z,EFO:0002948,postnatal,,,a67f1a65551aa934c0cc4cf5da966359,781328_177101,SLC22A17-DEL400-EM1-B6N-IC/7.2H_6309981,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,f6a3f2d3-3e8f-4b3f-874b-e2bb76c353e9,,IMPCLS:0005,Early adult,4027726,"['Anesthesia = Isoflurane', 'Equipment ID = Dexa Machine 2', 'Equipment manufacturer = GE Medical Systems', 'Equipment model = Lunar Piximus II', 'Experimenter ID = 3641097', 'Mouse Status = Anesthetized']",1f0313a8a852318ae73c07c4d6ff42e0,4535eb30322834f0932bf561eacc0596,unidimensional,Bone Area,IMPC_DXA_010_001,MRC Harwell,Harwell,HRWL_001,IMPC_DXA,Body Composition (DEXA lean/fat),,IMPC_DXA_001,MRC Harwell,MRC,male,0e1d9808c50dab5c411a33fde68d273d,MGI:2164831,C57BL/6NTac,,,,,,29.1,2017-05-19T00:00:00Z,101,IMPC_DXA_001_001,heterozygote
1816865906796527621,62,8,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,As expected,H-SLC22A17-DEL400-EM1-B6N,,IMPC,2017-02-08T00:00:00Z,2017-04-11T00:00:00Z,EFO:0002948,postnatal,,,0e5fadfb46a7ce907915708d38b60fe0,771500_160177,SLC22A17-DEL400-EM1-B6N-IC/1.2A_6310759,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,c464daa5-9838-472e-b8ce-3cf3386c2e43,,IMPCLS:0005,Early adult,4027831,"['Experimenter ID = 3642255', 'Location of test = LAF cabinet', 'Number of animals in cage = 4', 'Number of days since cage changed = 7.0', 'Size of squares in arena = 121.0']",c0d04946009ff863da92165975d6bed3,f4018472e3b677be3503836e0ceeee48,categorical,Skin texture - tail,IMPC_CSD_067_001,MRC Harwell,Harwell,HRWL_001,IMPC_CSD,Combined SHIRPA and Dysmorphology,,IMPC_CSD_003,MRC Harwell,MRC,female,7ef0b2f37959f63b61beef763f9b2304,MGI:2164831,C57BL/6NTac,,,,,,23.5,2017-04-13T00:00:00Z,64,IMPC_BWT_001_001,heterozygote
1816865816692391938,99,14,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,normal,H-SLC22A17-DEL400-EM1-B6N,,IMPC,2017-02-05T00:00:00Z,2017-05-15T00:00:00Z,EFO:0002948,postnatal,,,c4dc3cd898487df22a1a1fa4e4377c90,771332_169951,SLC22A17-DEL400-EM1-B6N-IC/7.1B_6308448,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,3a58551c-3cb9-4de8-9f17-6630d4d9d2ac,,IMPCLS:0005,Early adult,4027529,"['Experimenter ID (analysis) = 3642155', 'Experimenter ID (scan) = 3642155', 'Scanner equipment manufacturer = Faxitron X-Ray Corporation', 'Settings level = 1', 'Settings time of exposure = 3', 'Voltage settings = 26', 'Xray equipment ID = X-Ray Machine 2', 'Xray equipment manufacturer = Faxitron X-Ray Corporation', 'Xray equipment model = MX-20-DC4']",2970f5aa28277b1582da7b15eb8898a7,e77943dd6c3329eebba8de15e40e7772,categorical,Mandibles,IMPC_XRY_004_001,MRC Harwell,Harwell,HRWL_001,IMPC_XRY,X-ray,,IMPC_XRY_001,MRC Harwell,MRC,female,d013d2887fd9cfaf4b24324b07ad1a0a,MGI:2164831,C57BL/6NTac,,,,,,22.39,2017-05-15T00:00:00Z,99,IMPC_DXA_001_001,heterozygote
1816865821452926977,114,16,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,,H-SLC22A17-DEL400-EM1-B6N,0.03,IMPC,2017-02-07T00:00:00Z,2017-06-01T00:00:00Z,EFO:0002948,postnatal,,,804e5625dc1b64a4ee843e90fae5316d,788897_164107,SLC22A17-DEL400-EM1-B6N-IC/7.2H_6309981,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,85adecf7-42c6-46b0-8193-af98d9b3d86f,,IMPCLS:0005,Early adult,4027726,"['Anesthesia used for blood collection = Gas anaesthesia with Isofluorane', 'Anticoagulant = EDTA', 'Blood analysis experimenter ID = 3645257', 'Blood collection experimenter ID = 3645257', 'Blood collection tubes = Kabe Labortechnik 200ul EDTA', 'Date and time of blood collection = 2017-06-01T00:00:00+0100', 'Date and time of sacrifice = 2017-06-01T00:00:00+0100', 'Equipment ID = Haematology analyser', 'Equipment manufacturer = Siemens Medical Solutions Diagnostics', 'Equipment model = Advia 2120', 'ID for blood collection SOP = null', 'Method of blood collection = Retro-orbital puncture', 'Samples kept on ice between collection and analysis = No', 'Service-related calibration start date = 2014-06-23', 'Storage temperature from blood collection until measurement = 18-22']",b7b9542632ea20cf45b1b8c41fa5aa5b,6dbf0ceb8ed1aef68d3ef1a03cc4c627,unidimensional,Basophil cell count,IMPC_HEM_037_001,MRC Harwell,Harwell,HRWL_001,IMPC_HEM,Hematology,,IMPC_HEM_002,MRC Harwell,MRC,male,0e1d9808c50dab5c411a33fde68d273d,MGI:2164831,C57BL/6NTac,,,,,,29.42,2017-06-01T00:00:00Z,114,IMPC_BWT_001_001,heterozygote
1816865911111417868,116,16,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,,H-SLC22A17-DEL400-EM1-B6N,11.0,IMPC,2017-02-05T00:00:00Z,2017-06-01T00:00:00Z,EFO:0002948,postnatal,,,11df326ad31fbccbd0b37c0dc80075ab,788873_164107,SLC22A17-DEL400-EM1-B6N-IC/7.1H_6308454,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,3ba41ebb-d708-4150-9e7a-92a87372b18c,,IMPCLS:0005,Early adult,4027529,"['Anesthesia used for blood collection = Gas anaesthesia with Isofluorane', 'Anticoagulant = EDTA', 'Blood analysis experimenter ID = 3645257', 'Blood collection experimenter ID = 3645257', 'Blood collection tubes = Kabe Labortechnik 200ul EDTA', 'Date and time of blood collection = 2017-06-01T00:00:00+0100', 'Date and time of sacrifice = 2017-06-01T00:00:00+0100', 'Equipment ID = Haematology analyser', 'Equipment manufacturer = Siemens Medical Solutions Diagnostics', 'Equipment model = Advia 2120', 'ID for blood collection SOP = null', 'Method of blood collection = Retro-orbital puncture', 'Samples kept on ice between collection and analysis = No', 'Service-related calibration start date = 2014-06-23', 'Storage temperature from blood collection until measurement = 18-22']",b7b9542632ea20cf45b1b8c41fa5aa5b,771af98aef17b268bbd5b811006b0dc9,unidimensional,Neutrophil differential count,IMPC_HEM_029_001,MRC Harwell,Harwell,HRWL_001,IMPC_HEM,Hematology,,IMPC_HEM_002,MRC Harwell,MRC,male,5cf4521639c2e3d0eddcd56cb4dd0c0c,MGI:2164831,C57BL/6NTac,,,,,,29.58,2017-06-01T00:00:00Z,116,IMPC_BWT_001_001,heterozygote
1816865911293870089,66,9,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,As expected,H-SLC22A17-DEL400-EM1-B6N,,IMPC,2017-02-05T00:00:00Z,2017-04-12T00:00:00Z,EFO:0002948,postnatal,,,748c56c6634817519a4aa816b553ee03,771746_160269,SLC22A17-DEL400-EM1-B6N-IC/7.1H_6308454,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,adc1590e-cce1-4ed8-8ef4-4332cbe47b4b,,IMPCLS:0005,Early adult,4027529,"['Experimenter ID = 3641112', 'Location of test = LAF cabinet', 'Number of animals in cage = 4', 'Number of days since cage changed = 6.0', 'Size of squares in arena = 121.0']",c0d04946009ff863da92165975d6bed3,d3b4c171feca36cd21d689b6e6a4d46d,categorical,Upper teeth appearance,IMPC_CSD_069_001,MRC Harwell,Harwell,HRWL_001,IMPC_CSD,Combined SHIRPA and Dysmorphology,,IMPC_CSD_003,MRC Harwell,MRC,male,5cf4521639c2e3d0eddcd56cb4dd0c0c,MGI:2164831,C57BL/6NTac,,,,,,25.48,2017-04-13T00:00:00Z,67,IMPC_BWT_001_001,heterozygote
1816865911379853324,62,8,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,Present,H-SLC22A17-DEL400-EM1-B6N,,IMPC,2017-02-08T00:00:00Z,2017-04-11T00:00:00Z,EFO:0002948,postnatal,,,0e5fadfb46a7ce907915708d38b60fe0,771500_160177,SLC22A17-DEL400-EM1-B6N-IC/1.2A_6310759,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,13e85487-f75f-42b6-a47a-68cedb386690,,IMPCLS:0005,Early adult,4027831,"['Experimenter ID = 3642255', 'Location of test = LAF cabinet', 'Number of animals in cage = 4', 'Number of days since cage changed = 7.0', 'Size of squares in arena = 121.0']",c0d04946009ff863da92165975d6bed3,cae5d6fb96254428abf7a79c8edaf700,categorical,Tail - presence,IMPC_CSD_001_001,MRC Harwell,Harwell,HRWL_001,IMPC_CSD,Combined SHIRPA and Dysmorphology,,IMPC_CSD_003,MRC Harwell,MRC,female,7ef0b2f37959f63b61beef763f9b2304,MGI:2164831,C57BL/6NTac,,,,,,23.5,2017-04-13T00:00:00Z,64,IMPC_BWT_001_001,heterozygote
1816865807807807496,65,9,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,,H-SLC22A17-DEL400-EM1-B6N,1309.1,IMPC,2017-02-05T00:00:00Z,2017-04-11T00:00:00Z,EFO:0002948,postnatal,10.0,,f8dfe59c040d28c9672afed4f7088f89,771745_171738,SLC22A17-DEL400-EM1-B6N-IC/4.1G_6308439,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,ef1037f2-25cf-4c2e-9919-4fc595056dc3,,IMPCLS:0005,Early adult,4027527,"['Arena Size = 44x44', 'Central zone surface area = 40', 'Equipment ID = Open Field', 'Equipment manufacturer = Noldus', 'Equipment model = Unknown', 'Experimenter ID = 3641281', 'Light intensity in the centre of the arena = 150-200', 'Periphery zone = 8', 'Software Version = Ethovision XT v8.5', 'Type of analysis = Video tracking']",56fc4fb270db8e34bc38771dbb5392a8,0d38a292d8d1519982dd6563facf41b7,time_series,Periphery distance travelled series,IMPC_OFD_003_001,MRC Harwell,Harwell,HRWL_001,IMPC_OFD,Open Field,,IMPC_OFD_001,MRC Harwell,MRC,male,984d1f172246b63814ae84860c7cb99e,MGI:2164831,C57BL/6NTac,,,,,2017-04-11T00:00:00Z,27.05,2017-04-13T00:00:00Z,67,IMPC_GRS_003_001,heterozygote
1816865810628476929,66,9,MGI:6144258,Slc22a17<em1(IMPC)H>,Slc22a17<em1(IMPC)H>/Slc22a17<+>,experimental,As expected,H-SLC22A17-DEL400-EM1-B6N,,IMPC,2017-02-05T00:00:00Z,2017-04-12T00:00:00Z,EFO:0002948,postnatal,,,a9ab8abd68f0ac90dc40e2b811becb61,771534_160218,SLC22A17-DEL400-EM1-B6N-IC/4.1H_6308440,,MGI:1926225,Slc22a17,involves: C57BL/6NTac,2963c35d-3bf0-4c54-938b-8cf1fcc916d3,,IMPCLS:0005,Early adult,4027527,"['Experimenter ID = 3645342', 'Location of test = LAF cabinet', 'Number of animals in cage = 5', 'Number of days since cage changed = 7.0', 'Size of squares in arena = 121.0']",c0d04946009ff863da92165975d6bed3,1457b0a65d28048f4ad29fe1ddd5c9f2,categorical,Hindlimbs - size,IMPC_CSD_022_001,MRC Harwell,Harwell,HRWL_001,IMPC_CSD,Combined SHIRPA and Dysmorphology,,IMPC_CSD_003,MRC Harwell,MRC,male,79ff93423e5053c1158b0d999f5a336b,MGI:2164831,C57BL/6NTac,,,,,,27.17,2017-04-13T00:00:00Z,67,IMPC_BWT_001_001,heterozygote
